ano_entre,ano_sortie,entre_id,sortie_id
1198,1,6669,1
1198,1,6670,2
1198,1,6671,3
1198,1,6672,4
1336,2,7526,5
1336,2,7527,6
1336,2,7528,7
1336,2,7529,8
1336,2,7530,9
1336,2,7531,10
1336,2,7532,11
1336,2,7533,12
1336,2,7534,13
1336,2,7535,14
1336,2,7536,15
1336,2,7537,16
1336,2,7538,17
1336,2,7539,18
1336,2,7540,19
1336,2,7541,20
1336,2,7542,21
1336,2,7543,22
1336,2,7544,23
1336,2,7545,24
1336,2,7546,25
1336,2,7547,26
1336,2,7548,27
1336,2,7549,28
1336,2,7550,29
1336,2,7551,30
1336,2,7552,31
1336,2,7553,32
1336,2,7554,33
1336,2,7555,34
1336,2,7556,35
1336,2,7557,36
1336,2,7558,37
1336,2,7559,38
1336,2,7560,39
1336,2,7561,40
1336,2,7562,41
1336,2,7563,42
1336,2,7564,43
1336,2,7565,44
1336,2,7566,45
1336,2,7567,46
1336,2,7568,47
1336,2,7569,48
1336,2,7570,49
1336,2,7571,50
1336,2,7572,51
1336,2,7573,52
1336,2,7574,53
1336,2,7575,54
1336,2,7576,55
1336,2,7577,56
1629,3,9487,57
1074,4,6095,58
1074,4,6096,59
79,5,289,60
488,6,2787,61
488,6,2788,62
1490,7,8646,63
1490,7,8647,64
1490,7,8648,65
1295,8,7260,66
1295,8,7261,67
1295,8,7262,68
1064,9,6058,69
1064,9,6059,70
1064,9,6060,71
1064,9,6061,72
1794,10,10774,73
817,11,4937,74
817,11,4938,75
817,11,4939,76
108,12,381,77
108,12,382,78
108,12,383,79
1465,13,8501,80
1465,13,8502,81
1465,13,8503,82
1465,13,8504,83
1853,14,10964,84
1796,15,10782,85
1796,15,10783,86
1796,15,10784,87
1796,15,10785,88
1796,15,10786,89
1199,16,6673,90
1199,16,6674,91
1199,16,6675,92
1199,16,6676,93
1199,16,6677,94
1339,17,7587,95
51,18,156,96
51,18,157,97
51,18,158,98
51,18,159,99
51,18,160,100
51,18,161,101
51,18,162,102
1501,19,8675,103
1238,20,7046,104
1862,21,10994,105
1364,22,7803,106
1364,22,7804,107
1364,22,7805,108
1364,22,7806,109
1720,23,10133,110
48,24,152,111
700,25,3730,112
700,25,3731,113
700,25,3732,114
700,25,3733,115
221,26,1366,116
221,26,1367,117
469,27,2730,118
469,27,2729,119
1809,28,10836,120
1809,28,10837,121
1809,28,10838,122
1850,29,10959,123
1850,29,10960,124
1850,29,10961,125
805,30,4860,126
1242,31,7072,127
1242,31,7073,128
1242,31,7074,129
1242,31,7075,130
1242,31,7076,131
1242,31,7077,132
1242,31,7078,133
1242,31,7079,134
1242,31,7080,135
261,32,1572,136
436,33,2570,137
436,33,2571,138
436,33,2572,139
436,33,2573,140
436,33,2574,141
839,34,5022,142
839,34,5023,143
435,35,2564,144
435,35,2565,145
435,35,2566,146
435,35,2567,147
435,35,2568,148
435,35,2569,149
613,36,3306,150
613,36,3307,151
302,37,1830,152
302,37,1831,153
302,37,1832,154
302,37,1833,155
302,37,1834,156
302,37,1835,157
302,37,1836,158
1206,38,6689,159
1206,38,6690,160
1206,38,6691,161
1206,38,6692,162
1133,39,6318,163
1133,39,6319,164
645,40,3460,165
645,40,3461,166
149,41,791,167
149,41,792,168
149,41,793,169
149,41,794,170
149,41,795,171
982,42,5733,172
982,42,5734,173
982,42,5735,174
982,42,5736,175
982,42,5737,176
982,42,5738,177
982,42,5739,178
982,42,5740,179
164,43,1097,180
164,43,1098,181
164,43,1099,182
164,43,1100,183
164,43,1101,184
164,43,1102,185
98,44,336,186
98,44,337,187
98,44,338,188
127,45,454,189
567,46,3144,190
662,47,3507,191
662,47,3508,192
662,47,3509,193
662,47,3510,194
662,47,3511,195
662,47,3512,196
854,48,5060,197
854,48,5061,198
291,49,1694,199
291,49,1695,200
291,49,1696,201
291,49,1697,202
1881,50,11074,203
1881,50,11075,204
1881,50,11076,205
1404,51,7999,206
1404,51,8000,207
1404,51,8001,208
1404,51,8002,209
1404,51,8003,210
1404,51,8004,211
671,52,3536,212
671,52,3537,213
671,52,3538,214
671,52,3539,215
945,53,5614,216
945,53,5615,217
431,54,2558,218
431,54,2559,219
1727,55,10152,220
1727,55,10153,221
1727,55,10154,222
1727,55,10155,223
1727,55,10156,224
1727,55,10157,225
1695,56,10041,226
1695,56,10042,227
1695,56,10043,228
1695,56,10044,229
1013,57,5883,230
1239,58,7047,231
1239,58,7048,232
868,59,5148,233
868,59,5149,234
868,59,5150,235
1828,60,10872,236
742,61,3941,237
880,62,5230,238
880,62,5231,239
